Isaiah Simmons,Cereal Killers
T.J. Watt,Cereal Killers
Jamal Adams,Cereal Killers
Antoine Winfield Jr.,Cereal Killers
Daniel Jones,Abdullah Oblongata
Tevin Coleman,Abdullah Oblongata
Aaron Jones,Abdullah Oblongata
Corey Davis,Abdullah Oblongata
Von Miller,Abdullah Oblongata
Fred Warner,Abdullah Oblongata
Landon Collins,Abdullah Oblongata
Tyrann Mathieu,Abdullah Oblongata
Kyler Murray,AnyGivenSunday
Matt Ryan,AnyGivenSunday
Mike Davis,AnyGivenSunday
Kenyan Drake,AnyGivenSunday
David Montgomery,AnyGivenSunday
Gabriel Davis,AnyGivenSunday
Tyler Lockett,AnyGivenSunday
Hayden Hurst,AnyGivenSunday
Daniel Carlson,AnyGivenSunday
Brian Burns,AnyGivenSunday
Lavonte David ,AnyGivenSunday
Neville Hewitt,AnyGivenSunday
Nick Kwiatkoski,AnyGivenSunday
Robert Spillane,AnyGivenSunday
Darnell Savage,AnyGivenSunday
Patrick Mahomes,The Dudes
Alexander Mattison,The Dudes
Tyler Boyd,The Dudes
D.J. Chark,The Dudes
Diontae Johnson,The Dudes
Darnell Mooney,The Dudes
Mike Williams,The Dudes
Travis Kelce,The Dudes
Dawson Knox,The Dudes
Jason Myers,The Dudes
Aaron Donald,The Dudes
Montez Sweat,The Dudes
Zach Cunningham,The Dudes
Matt Judon,The Dudes
Darius Leonard,The Dudes
Chuck Clark,The Dudes
Sam Darnold,Mad Cats
Chris Carson,Mad Cats
Austin Ekeler,Mad Cats
Antonio Gibson,Mad Cats
Stefon Diggs,Mad Cats
Jakobi Meyers,Mad Cats
JuJu Smith-Schuster,Mad Cats
T.J. Hockenson,Mad Cats
Justin Tucker,Mad Cats
DeForest Buckner,Mad Cats
Chase Young,Mad Cats
Jordyn Brooks,Mad Cats
Blake Martinez,Mad Cats
Patrick Queen,Mad Cats
Jalen Hurts,Lisbon City Chiefs
A.J. Dillon,Lisbon City Chiefs
Antonio Brown,Lisbon City Chiefs
K.J. Hamler,Lisbon City Chiefs
Michael Pittman,Lisbon City Chiefs
Mark Andrews,Lisbon City Chiefs
Jason Sanders,Lisbon City Chiefs
Stephon Tuitt,Lisbon City Chiefs
Jayon Brown,Lisbon City Chiefs
Foye Oluokun,Lisbon City Chiefs
Tom Brady,A Flawed Matrix
Jordan Love,A Flawed Matrix
La'Mical Perine,A Flawed Matrix
Brandon Aiyuk,A Flawed Matrix
Keelan Cole,A Flawed Matrix
Russell Gage,A Flawed Matrix
Jalen Guyton,A Flawed Matrix
Marquez Valdes-Scantling,A Flawed Matrix
Rodrigo Blankenship,A Flawed Matrix
Akiem Hicks,A Flawed Matrix
Sam Hubbard,A Flawed Matrix
Bradley Chubb,A Flawed Matrix
Cole Holcomb,A Flawed Matrix
Cory Littleton,A Flawed Matrix
Preston Smith,A Flawed Matrix
Jessie Bates,A Flawed Matrix
Justin Simmons,A Flawed Matrix
Khari Willis,A Flawed Matrix
Matthew Stafford ,Can Ya Digg It
Damien Harris,Can Ya Digg It
Ronald Jones,Can Ya Digg It
Devin Singletary,Can Ya Digg It
Keenan Allen,Can Ya Digg It
Parris Campbell,Can Ya Digg It
Dallas Goedert,Can Ya Digg It
George Kittle,Can Ya Digg It
Adam Trautman,Can Ya Digg It
Matt Prater,Can Ya Digg It
Yannick Ngakoue,Can Ya Digg It
Chase Winovich,Can Ya Digg It
Eric Kendricks,Can Ya Digg It
Shaq Thompson,Can Ya Digg It
Bobby Wagner,Can Ya Digg It
Harrison Smith,Can Ya Digg It
Chase Edmonds,Fitz got Hops
James Robinson,Fitz got Hops
Amari Cooper,Fitz got Hops
Noah Fant,Fitz got Hops
Tyler Bass,Fitz got Hops
Haason Reddick,Fitz got Hops
Kareem Hunt,Game of Jones
Odell Beckham Jr.,Game of Jones
Laviska Shenault Jr.,Game of Jones
Jonnu Smith,Game of Jones
Mason Crosby,Game of Jones
Arik Armstead,Game of Jones
Kenny Clark,Game of Jones
Demario Davis,Game of Jones
Bud Dupree,Game of Jones
Terrell Edmunds,Game of Jones
Micah Hyde,Game of Jones
